Date,School,Total
FY14,Winnona Park,396
FY14,College Heights,192
FY14,Beacon Hill,860
FY14,Oakhurst,442
FY14,Decatur High School,990
FY14,Clairemont,379
FY14,Glennwood,289
FY14,Fifth Avenue,619
FY15,Fifth Avenue,671
FY15,Oakhurst,465
FY15,Glennwood,275
FY15,Beacon Hill,934
FY15,Westchester,232
FY15,Winnona Park,376
FY15,Clairemont,319
FY15,Decatur High School,1073
FY15,College Heights,193
FY16,College Heights,197
FY16,Beacon Hill,1013
FY16,Westchester,285
FY16,Winnona Park,396
FY16,Fifth Avenue,767
FY16,Decatur High School,1158
FY16,Glennwood,265
FY16,Oakhurst,468
FY16,Clairemont,309
FY17,Westchester,292
FY17,Oakhurst,460
FY17,Glennwood,286
FY17,Clairemont,319
FY17,Winnona Park,434
FY17,College Heights,190
FY17,Fifth Avenue,883
FY17,Decatur High School,1244
FY17,Beacon Hill,1122
FY18,Fifth Avenue,899
FY18,Clairemont,319
FY18,Decatur High School,1339
FY18,College Heights,197
FY18,Beacon Hill,1249
FY18,Winnona Park,441
FY18,Westchester,296
FY18,Oakhurst,484
FY18,Glennwood,290
FY19,Westchester,289
FY19,Oakhurst,480
FY19,Beacon Hill,1337
FY19,Decatur High School,1456
FY19,Fifth Avenue,923
FY19,College Heights,194
FY19,Winnona Park,456
FY19,Glennwood,296
FY19,Clairemont,303
FY20,Beacon Hill,1382
FY20,Talley Street,741
FY20,Winnona Park,336
FY20,Fifth Avenue,662
FY20,Decatur High School,1557
FY20,Westchester,228
FY20,Glennwood,200
FY20,Oakhurst,346
FY20,Clairemont,243
FY20,College Heights,179
FY21,College Heights,172
FY21,Clairemont,205
FY21,Decatur High School,1686
FY21,Beacon Hill,1377
FY21,Glennwood,177
FY21,Talley Street,693
FY21,Fifth Avenue,645
FY21,Winnona Park,320
FY21,Westchester,210
FY21,Oakhurst,307
FY22,Clairemont,183
FY22,Talley Street,697
FY22,College Heights,160
FY22,Fifth Avenue,597
FY22,Decatur High School,1732
FY22,Beacon Hill,1339
FY22,Winnona Park,302
FY22,Westchester,180
FY22,Oakhurst,279
FY22,Glennwood,168
FY23,Beacon Hill,1323
FY23,Westchester,165
FY23,Decatur High School,1853
FY23,Glennwood,181
FY23,Talley Street,661
FY23,Fifth Avenue,596
FY23,Winnona Park,275
FY23,Clairemont,181
FY23,Oakhurst,249
FY23,College Heights,171
FY24,Oakhurst,226
FY24,Glennwood,180
FY24,College Heights,153
FY24,Decatur High School,1834
FY24,Beacon Hill,1322
FY24,Talley Street,638
FY24,Fifth Avenue,593
FY24,Winnona Park,248
FY24,Westchester,148
FY24,Clairemont,167
FY25,College Heights,148
FY25,Clairemont,144
FY25,Decatur High School,1901
FY25,Beacon Hill,1285
FY25,Talley Street,623
FY25,Fifth Avenue,529
FY25,Winnona Park,238
FY25,Westchester,140
FY25,Oakhurst,197
FY25,Glennwood,162
FY26,Beacon Hill,1308
FY26,Talley Street,600
FY26,Fifth Avenue,476
FY26,Decatur High School,1887
FY26,Winnona Park,221
FY26,Westchester,124
FY26,Oakhurst,212
FY26,Glennwood,157
FY26,Clairemont,118
FY26,College Heights,159
